index,DateTime,Open,Close,High,Low
258,20210504  17:00:00,0.866695,0.866095,0.866785,0.865695
259,20210504  18:00:00,0.866095,0.86534,0.86614,0.86509
260,20210504  19:00:00,0.86534,0.86502,0.865395,0.864805
261,20210504  20:00:00,0.86502,0.86463,0.86534,0.864615
262,20210504  21:00:00,0.86463,0.86506,0.865245,0.86459
263,20210504  22:00:00,0.86506,0.86525,0.86545,0.86501
264,20210504  23:15:00,0.865225,0.865,0.865225,0.864975
265,20210505  00:00:00,0.865,0.86491,0.86514,0.86485
266,20210505  01:00:00,0.86491,0.86513,0.86513,0.864865
267,20210505  02:00:00,0.86513,0.86483,0.86513,0.864735
268,20210505  03:00:00,0.86483,0.864305,0.86497,0.864285
269,20210505  04:00:00,0.864305,0.864355,0.86459,0.864175
270,20210505  05:00:00,0.864355,0.86434,0.864435,0.864235
271,20210505  06:00:00,0.86434,0.86435,0.86447,0.86424
272,20210505  07:00:00,0.86435,0.864045,0.864655,0.864025
273,20210505  08:00:00,0.864045,0.86284,0.86443,0.862735
274,20210505  09:00:00,0.86284,0.86313,0.863685,0.8625
275,20210505  10:00:00,0.86313,0.86347,0.863485,0.862765
276,20210505  11:00:00,0.86347,0.86391,0.864325,0.863335
277,20210505  12:00:00,0.86391,0.863725,0.864265,0.86263
278,20210505  13:00:00,0.863725,0.863585,0.863795,0.8632
279,20210505  14:00:00,0.863585,0.862695,0.863675,0.862535
280,20210505  15:00:00,0.862695,0.863185,0.863745,0.862695
281,20210505  16:00:00,0.863185,0.863,0.863675,0.86263
282,20210505  17:00:00,0.863,0.862685,0.86344,0.862375
283,20210505  18:00:00,0.862685,0.862715,0.863035,0.862375
284,20210505  19:00:00,0.862715,0.86269,0.86302,0.862485
285,20210505  20:00:00,0.86269,0.862815,0.862895,0.86248
286,20210505  21:00:00,0.862815,0.862925,0.863275,0.862655
287,20210505  22:00:00,0.862925,0.86323,0.863385,0.86291
288,20210505  23:15:00,0.863265,0.86338,0.86341,0.86318
289,20210506  00:00:00,0.86338,0.863375,0.863425,0.863185
290,20210506  01:00:00,0.863375,0.8633,0.863465,0.86327
291,20210506  02:00:00,0.8633,0.863355,0.86336,0.862925
292,20210506  03:00:00,0.863355,0.86342,0.86342,0.863135
293,20210506  04:00:00,0.86342,0.863595,0.86395,0.863345
294,20210506  05:00:00,0.863595,0.86353,0.863685,0.86346
295,20210506  06:00:00,0.86353,0.86361,0.863735,0.86348
296,20210506  07:00:00,0.86361,0.86345,0.863665,0.863335
297,20210506  08:00:00,0.86345,0.86415,0.864405,0.86322
298,20210506  09:00:00,0.86415,0.86492,0.86512,0.863955
299,20210506  10:00:00,0.86492,0.866115,0.866375,0.864695
300,20210506  11:00:00,0.866115,0.865595,0.866445,0.8655
301,20210506  12:00:00,0.865595,0.86654,0.866755,0.865495
302,20210506  13:00:00,0.86654,0.86599,0.86887,0.863845
303,20210506  14:00:00,0.86599,0.867885,0.86789,0.865595
304,20210506  15:00:00,0.867885,0.86811,0.86873,0.86704
305,20210506  16:00:00,0.86811,0.868395,0.869895,0.86806
306,20210506  17:00:00,0.868395,0.868145,0.86873,0.86781
307,20210506  18:00:00,0.868145,0.86774,0.868155,0.867325
308,20210506  19:00:00,0.86774,0.86825,0.86829,0.867535
309,20210506  20:00:00,0.86825,0.868135,0.868325,0.867855
310,20210506  21:00:00,0.868135,0.86794,0.86826,0.86791
311,20210506  22:00:00,0.86794,0.868475,0.86852,0.867905
312,20210506  23:15:00,0.868075,0.868425,0.86851,0.868075
313,20210507  00:00:00,0.868425,0.86805,0.86851,0.86804
314,20210507  01:00:00,0.86805,0.86828,0.86835,0.867995
315,20210507  02:00:00,0.86828,0.86809,0.868585,0.867915
316,20210507  03:00:00,0.86809,0.86769,0.868215,0.86756
317,20210507  04:00:00,0.86769,0.8678,0.867955,0.867555
318,20210507  05:00:00,0.8678,0.867585,0.86789,0.867445
319,20210507  06:00:00,0.867585,0.867385,0.86771,0.86737
320,20210507  07:00:00,0.867385,0.86731,0.867725,0.867215
321,20210507  08:00:00,0.86731,0.86699,0.86754,0.866825
322,20210507  09:00:00,0.86699,0.86742,0.867965,0.86654
323,20210507  10:00:00,0.86742,0.86806,0.868375,0.86701
324,20210507  11:00:00,0.86806,0.86774,0.86884,0.867635
325,20210507  12:00:00,0.86774,0.867685,0.868365,0.8674
326,20210507  13:00:00,0.867685,0.86801,0.86892,0.867625
327,20210507  14:00:00,0.86801,0.86919,0.87009,0.86768
328,20210507  15:00:00,0.86919,0.869405,0.87005,0.86905
329,20210507  16:00:00,0.869405,0.86855,0.869835,0.868335
330,20210507  17:00:00,0.86855,0.868905,0.86913,0.868145
331,20210507  18:00:00,0.868905,0.86906,0.86955,0.868705
332,20210507  19:00:00,0.86906,0.86913,0.86954,0.86879
333,20210507  20:00:00,0.86913,0.86914,0.86928,0.868855
334,20210507  21:00:00,0.86914,0.868985,0.869235,0.86879
335,20210507  22:00:00,0.868985,0.869875,0.869875,0.868645
336,20210509  23:15:00,0.8689,0.869185,0.86942,0.868675
337,20210510  00:00:00,0.869185,0.8673,0.86921,0.867075
338,20210510  01:00:00,0.8673,0.866835,0.867645,0.86681
339,20210510  02:00:00,0.866835,0.866945,0.86716,0.866405
340,20210510  03:00:00,0.866945,0.86649,0.86699,0.8661
341,20210510  04:00:00,0.86649,0.86682,0.866985,0.86642
342,20210510  05:00:00,0.86682,0.866945,0.86707,0.866705
343,20210510  06:00:00,0.866945,0.866385,0.86723,0.866385
344,20210510  07:00:00,0.866385,0.865335,0.86658,0.86487
345,20210510  08:00:00,0.865335,0.86462,0.865405,0.86414
346,20210510  09:00:00,0.86462,0.863025,0.86486,0.862765
347,20210510  10:00:00,0.863025,0.86379,0.863985,0.86253
348,20210510  11:00:00,0.86379,0.863235,0.863855,0.86304
349,20210510  12:00:00,0.863235,0.862685,0.86347,0.86234
350,20210510  13:00:00,0.862685,0.862025,0.86317,0.861375
351,20210510  14:00:00,0.862025,0.86032,0.86223,0.859625
352,20210510  15:00:00,0.86032,0.86165,0.861685,0.86023
353,20210510  16:00:00,0.86165,0.86008,0.861905,0.85932
354,20210510  17:00:00,0.86008,0.85996,0.860725,0.85992
355,20210510  18:00:00,0.85996,0.859765,0.860635,0.859755
356,20210510  19:00:00,0.859765,0.859505,0.860015,0.858965
357,20210510  20:00:00,0.859505,0.859275,0.85956,0.858815
358,20210510  21:00:00,0.859275,0.85909,0.85949,0.858975
359,20210510  22:00:00,0.85909,0.859075,0.85936,0.858915
360,20210510  23:15:00,0.859335,0.85915,0.85935,0.85891
361,20210511  00:00:00,0.85915,0.85921,0.859255,0.85891
362,20210511  01:00:00,0.85921,0.85917,0.85937,0.859105
363,20210511  02:00:00,0.85917,0.859115,0.859315,0.85886
364,20210511  03:00:00,0.859115,0.859705,0.859735,0.85893
365,20210511  04:00:00,0.859705,0.859685,0.859815,0.85951
366,20210511  05:00:00,0.859685,0.859725,0.859865,0.859625
367,20210511  06:00:00,0.859725,0.859555,0.85973,0.859245
368,20210511  07:00:00,0.859555,0.859505,0.859855,0.859415
369,20210511  08:00:00,0.859505,0.859645,0.86001,0.85928
370,20210511  09:00:00,0.859645,0.859625,0.85998,0.85869
371,20210511  10:00:00,0.859625,0.860115,0.86138,0.859555
372,20210511  11:00:00,0.860115,0.86067,0.860975,0.860015
373,20210511  12:00:00,0.86067,0.860895,0.860995,0.859915
374,20210511  13:00:00,0.860895,0.860205,0.86105,0.85978
375,20210511  14:00:00,0.860205,0.85985,0.860245,0.859425
376,20210511  15:00:00,0.85985,0.859955,0.86079,0.859745
377,20210511  16:00:00,0.859955,0.859855,0.86099,0.85971
378,20210511  17:00:00,0.859855,0.86011,0.860325,0.85962
379,20210511  18:00:00,0.86011,0.85874,0.86015,0.858705
380,20210511  19:00:00,0.85874,0.858555,0.859125,0.85848
381,20210511  20:00:00,0.858555,0.85838,0.858955,0.858205
382,20210511  21:00:00,0.85838,0.859025,0.85925,0.858175
383,20210511  22:00:00,0.859025,0.85909,0.85925,0.85887
384,20210511  23:15:00,0.85865,0.85907,0.859115,0.858625
385,20210512  00:00:00,0.85907,0.85895,0.85922,0.858735
386,20210512  01:00:00,0.85895,0.85914,0.859245,0.85892
387,20210512  02:00:00,0.85914,0.85924,0.85958,0.859005
388,20210512  03:00:00,0.85924,0.85936,0.85976,0.85902
389,20210512  04:00:00,0.85936,0.85914,0.859565,0.85901
390,20210512  05:00:00,0.85914,0.85882,0.859255,0.858705
391,20210512  06:00:00,0.85882,0.858715,0.858875,0.858665
392,20210512  07:00:00,0.858715,0.85874,0.85888,0.858575
393,20210512  08:00:00,0.85874,0.85836,0.858815,0.85817
394,20210512  09:00:00,0.85836,0.85838,0.858625,0.858005
395,20210512  10:00:00,0.85838,0.858065,0.858665,0.858055
396,20210512  11:00:00,0.858065,0.858485,0.858805,0.857495
397,20210512  12:00:00,0.858485,0.857365,0.858825,0.857315
398,20210512  13:00:00,0.857365,0.8576,0.857925,0.85715
399,20210512  14:00:00,0.8576,0.8582,0.85913,0.857015
400,20210512  15:00:00,0.8582,0.85686,0.85874,0.856515
401,20210512  16:00:00,0.85686,0.856685,0.85717,0.85614
402,20210512  17:00:00,0.856685,0.857425,0.857505,0.856065
403,20210512  18:00:00,0.857425,0.85835,0.858465,0.857345
404,20210512  19:00:00,0.85835,0.858615,0.85896,0.85828
405,20210512  20:00:00,0.858615,0.859225,0.859395,0.858565
406,20210512  21:00:00,0.859225,0.858895,0.859455,0.858885
407,20210512  22:00:00,0.858895,0.858825,0.859245,0.858695
408,20210512  23:15:00,0.858625,0.85869,0.858935,0.85807
409,20210513  00:00:00,0.85869,0.858625,0.858975,0.858365
410,20210513  01:00:00,0.858625,0.85888,0.858975,0.858525
411,20210513  02:00:00,0.85888,0.859,0.859215,0.858765
412,20210513  03:00:00,0.859,0.858715,0.85907,0.858625
413,20210513  04:00:00,0.858715,0.85895,0.85917,0.858715
414,20210513  05:00:00,0.85895,0.85884,0.85913,0.858785
415,20210513  06:00:00,0.85884,0.858675,0.85895,0.85847
416,20210513  07:00:00,0.858675,0.859235,0.85929,0.85864
417,20210513  08:00:00,0.859235,0.86066,0.86118,0.85915
418,20210513  09:00:00,0.86066,0.86021,0.86088,0.860065
419,20210513  10:00:00,0.86021,0.859745,0.860525,0.859225
420,20210513  11:00:00,0.859745,0.860365,0.860485,0.85938
421,20210513  12:00:00,0.860365,0.860705,0.861235,0.860265
422,20210513  13:00:00,0.860705,0.8611,0.8611,0.860485
423,20210513  14:00:00,0.8611,0.86099,0.861225,0.8605
424,20210513  15:00:00,0.86099,0.86076,0.861745,0.86057
425,20210513  16:00:00,0.86076,0.85965,0.860895,0.85956
426,20210513  17:00:00,0.85965,0.86018,0.86056,0.859505
427,20210513  18:00:00,0.86018,0.86057,0.86098,0.86002
428,20210513  19:00:00,0.86057,0.86054,0.86079,0.85986
429,20210513  20:00:00,0.86054,0.86001,0.860705,0.859985
430,20210513  21:00:00,0.86001,0.85994,0.860145,0.859805
431,20210513  22:00:00,0.85994,0.859675,0.86007,0.85955
432,20210513  23:15:00,0.8598,0.859845,0.86014,0.8593
433,20210514  00:00:00,0.859845,0.859965,0.859995,0.859675
434,20210514  01:00:00,0.859965,0.85979,0.85999,0.859585
435,20210514  02:00:00,0.85979,0.85969,0.86009,0.859675
436,20210514  03:00:00,0.85969,0.860325,0.86033,0.859635
437,20210514  04:00:00,0.860325,0.860335,0.860485,0.860155
438,20210514  05:00:00,0.860335,0.86044,0.86063,0.86023
439,20210514  06:00:00,0.86044,0.86056,0.86061,0.86024
440,20210514  07:00:00,0.86056,0.86072,0.860775,0.86029
441,20210514  08:00:00,0.86072,0.860905,0.861745,0.86055
442,20210514  09:00:00,0.860905,0.861485,0.861795,0.860305
443,20210514  10:00:00,0.861485,0.86199,0.86273,0.861295
444,20210514  11:00:00,0.86199,0.86128,0.86213,0.86082
445,20210514  12:00:00,0.86128,0.860945,0.861575,0.860265
446,20210514  13:00:00,0.860945,0.86094,0.861095,0.860415
447,20210514  14:00:00,0.86094,0.860885,0.86145,0.860525
448,20210514  15:00:00,0.860885,0.86068,0.861715,0.860655
449,20210514  16:00:00,0.86068,0.8613,0.861995,0.86057
450,20210514  17:00:00,0.8613,0.8613,0.86188,0.860875
451,20210514  18:00:00,0.8613,0.860955,0.861625,0.86086
452,20210514  19:00:00,0.860955,0.861155,0.861545,0.86093
453,20210514  20:00:00,0.861155,0.8612,0.86148,0.860865
454,20210514  21:00:00,0.8612,0.861465,0.861565,0.86103
455,20210514  22:00:00,0.861465,0.86115,0.861765,0.861145
456,20210516  23:15:00,0.861075,0.8609,0.861365,0.860805
457,20210517  00:00:00,0.8609,0.861615,0.86167,0.8609
458,20210517  01:00:00,0.861615,0.861645,0.861725,0.861425
459,20210517  02:00:00,0.861645,0.861365,0.861735,0.86111
460,20210517  03:00:00,0.861365,0.861385,0.861515,0.8612
461,20210517  04:00:00,0.861385,0.86144,0.861685,0.861325
462,20210517  05:00:00,0.86144,0.86125,0.861525,0.861125
463,20210517  06:00:00,0.86125,0.861225,0.86128,0.860995
464,20210517  07:00:00,0.861225,0.86099,0.861355,0.860955
465,20210517  08:00:00,0.86099,0.86037,0.86113,0.860275
466,20210517  09:00:00,0.86037,0.86102,0.861585,0.860115
467,20210517  10:00:00,0.86102,0.86117,0.861505,0.860555
468,20210517  11:00:00,0.86117,0.8619,0.86233,0.86101
469,20210517  12:00:00,0.8619,0.863145,0.863165,0.86176
470,20210517  13:00:00,0.863145,0.861985,0.86318,0.8619
471,20210517  14:00:00,0.861985,0.861595,0.86239,0.86135
472,20210517  15:00:00,0.861595,0.861465,0.861795,0.86072
473,20210517  16:00:00,0.861465,0.860225,0.86177,0.860105
474,20210517  17:00:00,0.860225,0.860435,0.860635,0.86001
475,20210517  18:00:00,0.860435,0.859765,0.860525,0.859675
476,20210517  19:00:00,0.859765,0.859695,0.86003,0.85951
477,20210517  20:00:00,0.859695,0.85961,0.85986,0.859515
478,20210517  21:00:00,0.85961,0.859695,0.859915,0.85961
479,20210517  22:00:00,0.859695,0.859565,0.85982,0.85941
480,20210517  23:15:00,0.859825,0.859575,0.859825,0.85947
481,20210518  00:00:00,0.859575,0.85965,0.859735,0.859495
482,20210518  01:00:00,0.85965,0.859235,0.859655,0.859235
483,20210518  02:00:00,0.859235,0.859055,0.85932,0.85878
484,20210518  03:00:00,0.859055,0.85862,0.85915,0.85837
485,20210518  04:00:00,0.85862,0.858485,0.858645,0.858305
486,20210518  05:00:00,0.858485,0.858315,0.858575,0.858235
487,20210518  06:00:00,0.858315,0.85841,0.85851,0.858185
488,20210518  07:00:00,0.85841,0.858865,0.85891,0.85827
489,20210518  08:00:00,0.858865,0.858905,0.859345,0.858405
490,20210518  09:00:00,0.858905,0.859265,0.85965,0.85881
491,20210518  10:00:00,0.859265,0.85979,0.86053,0.85902
492,20210518  11:00:00,0.85979,0.860145,0.860375,0.85902
493,20210518  12:00:00,0.860145,0.86037,0.86063,0.85988
494,20210518  13:00:00,0.86037,0.860185,0.860745,0.85985
495,20210518  14:00:00,0.860185,0.860485,0.86094,0.859825
496,20210518  15:00:00,0.860485,0.860245,0.86056,0.859565
497,20210518  16:00:00,0.860245,0.85979,0.86072,0.859245
498,20210518  17:00:00,0.85979,0.860305,0.86062,0.859735
499,20210518  18:00:00,0.860305,0.8608,0.86089,0.860215
500,20210518  19:00:00,0.8608,0.861115,0.86127,0.86069
501,20210518  20:00:00,0.861115,0.861745,0.86192,0.861075
502,20210518  21:00:00,0.861745,0.861665,0.861825,0.86151
503,20210518  22:00:00,0.861665,0.8616,0.8618,0.861495
504,20210518  23:15:00,0.861475,0.861665,0.861735,0.861415
505,20210519  00:00:00,0.861665,0.86155,0.861765,0.861355
506,20210519  01:00:00,0.86155,0.86149,0.861655,0.86132
507,20210519  02:00:00,0.86149,0.86142,0.86163,0.86125
508,20210519  03:00:00,0.86142,0.86148,0.86163,0.86128
509,20210519  04:00:00,0.86148,0.8619,0.861955,0.861415
510,20210519  05:00:00,0.8619,0.861985,0.862055,0.86172
511,20210519  06:00:00,0.861985,0.862125,0.862305,0.861875
512,20210519  07:00:00,0.862125,0.86196,0.862325,0.861855
513,20210519  08:00:00,0.86196,0.86257,0.86334,0.861915
514,20210519  09:00:00,0.86257,0.862105,0.862945,0.861405
515,20210519  10:00:00,0.862105,0.86139,0.86234,0.860975
516,20210519  11:00:00,0.86139,0.86156,0.861685,0.861365
